Age LB,Age UB,M,F
0,4,61705157,56100408
5,9,61156249,55470476
10,14,65529162,59247144
15,19,66720827,59535435
20,24,65190651,57919863
25,29,62464037,55667536
30,34,59414201,53692757
35,39,54983196,50300522
40,44,47800063,44585968
45,49,41569276,39447158
50,54,35871178,34362501
55,59,30683717,29669493
60,64,25198480,24710588
65,69,19765111,19667183
70,74,12342949,13092551
75,79,7277333,8233710
80,84,3979437,4802826
85,89,1695954,2113999
90,94,503975,638562
95,99,103730,144394
100,200,18753,32521
